index	text	gold_answer	slice	llm_output
72	On the issue of whether factory management had underpaid its workers, the fact that workers carried signs during a protest demanding equitable compensation.	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""The signs carried by workers during a protest are not hearsay as they are not out-of-court statements being introduced to prove the truth of the matter asserted. Instead, they demonstrate the workers' state of mind and collective assertion that compensation is perceived as inequitable.""}"
73	On the issue of whether Albert liked Taylor Swift, a social media post written by Albert describing Taylor as his favorite artist.	Yes	Non-verbal hearsay	"{'answer': 'No', 'explanation': ""The social media post is not hearsay because it is a statement made by Albert, the party of interest, and it serves as an admission by a party-opponent. As such, it is an exception to the hearsay rule and can be admitted to show Albert's preference for Taylor Swift.""}"
74	On the issue of whether Tom identified the suspect at the scene of the crime, the fact that he pointed at the defendant.	No	Not introduced to prove truth	{'answer': 'No', 'explanation': 'Non-verbal conduct, such as pointing at the defendant, is not considered hearsay because it is not an assertion—a statement or a declaration. Hearsay involves out-of-court statements made to assert the truth of the matter, whereas pointing is a gesture that is meant to visually identify rather than to verbally assert a fact.'}
75	On the issue of the sanity of Bobby, the fact that Bobby told a friend that she believed she was Santa Clause.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Bobby's statement to a friend that she believed she was Santa Clause is an out-of-court statement introduced to prove the truth of the matter asserted, namely Bobby's mental state. As such, it qualifies as hearsay because it is being used to establish Bobby's sanity and not for another purpose.""}"
76	On the issue of whether Vincent was provoked by Roy, the fact that Vincent was told by his friend that he had just been attacked by Roy.	No	Not introduced to prove truth	{'answer': 'Yes', 'explanation': 'The statement that Vincent was told by his friend that he had just been attacked by Roy is an out-of-court statement being offered to prove the truth of the matter asserted—that Vincent was provoked by Roy. Hearsay involves the use of such statements to prove their truth, and therefore, this constitutes hearsay unless an exception or exclusion applies.'}
77	On the issue of whether Kayla knew she was ill, the fact that Philip told him she was unwell.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""The statement that Philip told Kayla she was unwell is an out-of-court statement introduced to prove the truth of the matter asserted, namely, whether Kayla knew she was ill. Since it is being used to establish Kayla's knowledge or belief about her health based on what Philip said, it qualifies as hearsay.""}"
78	"On the issue of damage to Mason's reputation as a sober individual, Lori's public statement, ""I have never seen Mason drink."""	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""Lori's public statement, 'I have never seen Mason drink,' is not hearsay because it is an out-of-court statement being used to show Lori's belief about Mason's reputation, not to prove the truth of whether Mason never drank. The relevance lies in Lori's perception, which can affect reputation evidence, rather than asserting a verifiable fact.""}"
79	"On the issue of whether Gerald was alive immediately after being attacked by Kathryn, Gerald's statement, ""I was attacked by Kathryn."""	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""Gerald's statement, 'I was attacked by Kathryn,' is not hearsay when offered to prove that Gerald was alive immediately after the attack. This is because it is an exception to the hearsay rule as a statement of then-existing state of mind or condition, showing Gerald's awareness of being attacked while alive.""}"
80	"On issue of Dylan's ill feeling toward Andrew, Dylan's statement, ""Andrew is a liar and a hypocrite."""	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""Dylan's statement that 'Andrew is a liar and a hypocrite' is an out-of-court statement introduced to prove Dylan's ill feeling toward Andrew, the matter asserted. Since it is offered to demonstrate Dylan's state of mind rather than the truth of whether Andrew is indeed a liar and a hypocrite, it constitutes hearsay unless an applicable exception applies.""}"
81	"On the issue of whether Ann and Austin had a discussion, Ann's statement to Austin, ""I will sell my car to you for a cost."""	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""Hearsay involves an out-of-court statement introduced to prove the truth of the matter asserted. In this scenario, Ann's statement to Austin is not hearsay because it is a statement made from one party to another involved in the discussion and can be directly shown to Austin in court as evidence of their discussion. Hearsay rules generally apply to statements made to individuals outside of that particular conversation.""}"
82	"On the issue of whether Patty knew Dave, the prosecution introduces evidence that Patty told Arthur, ""Dave is really dishonest."""	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': 'Hearsay is defined as an out-of-court statement offered to prove the truth of the matter asserted. Here, Patty’s statement to Arthur that ""Dave is really dishonest"" is being introduced to prove the truth of Dave\'s honesty, which is an assertion made outside the court. Therefore, it qualifies as hearsay.'}"
83	To prove that Arthur knew English, the fact that Arthur told Bill (in English) that he thought Mary robbed the bank.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""The statement 'Arthur told Bill that he thought Mary robbed the bank' is an out-of-court statement introduced to prove that Arthur knew English. The statement itself is not about whether Mary robbed the bank, but rather about Arthur's ability to speak English, thus it is being used to assert the truth of his knowledge of the language.""}"
84	To prove that Arthur had notice that a bank robbery was being planned, the fact that Arthur told Mary that he heard a bank robbery was going to happen.	Yes	Standard hearsay	"{'answer': 'Yes', 'explanation': ""Arthur's statement to Mary that he heard a bank robbery was going to happen constitutes hearsay because it is an out-of-court statement being introduced to prove the truth of the matter asserted, which is that Arthur had notice of the planned robbery. The statement was made by Arthur outside of court and is being used to demonstrate his knowledge about the impending crime.""}"
85	To prove that Mary was at the mall on January 2nd, a mall employee testifies that on January 2nd, Mary told him she was planning on purchasing several diamonds.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""The mall employee's testimony about Mary's statement that she was planning on purchasing several diamonds is considered hearsay. This is because it is an out-of-court statement being introduced to prove the truth of the matter asserted, which is that Mary was at the mall on January 2nd.""}"
86	To prove that Anne supported David, the fact that Anne said that David was the best boss in the world.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""Anne's statement that David was the best boss in the world is an out-of-court statement introduced to prove Anne's support for David. Since it is being offered to prove the truth of the matter asserted—that Anne supports David—it qualifies as hearsay.""}"
87	"To prove that Daniel was sad upon hearing the news, the fact he exlaimed ""the world was ending"" and ""nothing mattered anymore."""	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': 'Daniel\'s exclamations ""the world was ending"" and ""nothing mattered anymore"" are considered spontaneous statements or possibly excited utterances, which are exceptions to the hearsay rule. These statements reflect his immediate reaction to the news, making them relevant to proving his emotional state without being considered hearsay.'}"
88	To prove that Amy believed that Karl was an employee of the store, the fact that Amy told Karl that the store needed to refund her because their marketing had been decieving. 	No	Not introduced to prove truth	{'answer': 'Yes', 'explanation': 'The statement that Amy made to Karl about the store needing to refund her because their marketing had been deceiving is being offered to prove that Amy believed Karl was an employee of the store. This is an out-of-court statement introduced to prove the truth of the matter asserted (that Amy believed Karl was an employee), which constitutes hearsay.'}
89	To prove that Arthur believed that Amy and Daniel were married, the fact that he wished them a happy anniversary.	No	Not introduced to prove truth	"{'answer': 'Yes', 'explanation': ""Arthur's act of wishing Amy and Daniel a happy anniversary is an out-of-court statement offered to prove the truth of the matter asserted, namely, that Arthur believed they were married. Since the statement is being introduced to show his state of mind rather than the fact of their marriage, it qualifies as hearsay unless it falls under a recognized exception.""}"
90	To prove that the trademarks of restaurant A and restaurant B created confusion, the fact that a customer called one and placed an order believing it to actually be the other.	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""The fact that a customer called one restaurant believing it to be the other is being used to demonstrate confusion between the trademarks, which is a direct observation of the customer's mistake. This is not an out-of-court statement introduced to prove the truth of the matter asserted, as it illustrates firsthand confusion or misunderstanding, rather than asserting or proving the trademark confusion as a fact.""}"
91	To prove that Michael knew of the existing patent, the fact that he told his friend that the patent was poorly written.	No	Not introduced to prove truth	"{'answer': 'No', 'explanation': ""The statement made by Michael to his friend, if used to prove that Michael was aware of the existing patent, is not hearsay because it is being used to show his knowledge rather than to prove the truth of whether the patent was poorly written. The out-of-court statement serves as evidence of Michael's state of mind or awareness, not the truth of the matter asserted in the statement itself.""}"
92	To prove that Arthur and Mary had a conversation, the fact that Arthur told Mary that the weather the following week would be terrible.	No	Not introduced to prove truth	{'answer': 'No', 'explanation': 'The statement in question is used to prove that a conversation occurred between Arthur and Mary, not to prove the truth of Arthur’s statement about the weather. Hearsay involves using an out-of-court statement to prove the truth of the matter asserted; here, the assertion is merely that a discussion took place, not the content of that discussion.'}
93	On the issue of whether Melissa was the agent of Mark, Melissa's statement to Tim that her offer was being made as an agent of Mark.	Yes	Standard hearsay	"{'answer': 'No', 'explanation': ""Melissa's statement to Tim that her offer was being made as an agent of Mark is not hearsay when offered to prove that she was acting as Mark's agent. This statement is relevant to issue rather than for the truth of the matter asserted. In legal terms, statements of a party's own conduct or intentions, or statements made by an agent within the scope of agency, are part of an exception to the hearsay rule.""}"
